epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,255.413,0.85248,0.65079,0.94843,0.9602,0.95874,0.98802,0.7704,0.83269,0.49253,0.89419,0.000360189,0.000360189,0.000360189
88,258.289,0.82451,0.61623,0.92124,0.95119,0.95987,0.98804,0.77405,0.81168,0.48683,0.89165,0.000354691,0.000354691,0.000354691
89,261.178,0.92315,0.6665,0.96509,0.9424,0.96603,0.988,0.77196,0.81366,0.48782,0.88904,0.000349194,0.000349194,0.000349194
90,264.066,0.89724,0.64264,0.9488,0.95711,0.95481,0.98819,0.77235,0.81434,0.48591,0.8866,0.000343696,0.000343696,0.000343696
91,266.941,0.8785,0.66637,0.97084,0.95142,0.95946,0.9894,0.77177,0.81571,0.48576,0.88856,0.000338198,0.000338198,0.000338198
92,269.827,0.8647,0.62531,0.93572,0.94421,0.96368,0.98816,0.77403,0.81178,0.48845,0.8884,0.0003327,0.0003327,0.0003327
93,272.717,0.87289,0.64481,0.94658,0.9451,0.9736,0.98752,0.76996,0.81967,0.50044,0.8899,0.000327202,0.000327202,0.000327202
94,275.607,0.82348,0.60688,0.9427,0.93498,0.97517,0.98783,0.77606,0.81128,0.49002,0.88658,0.000321705,0.000321705,0.000321705
95,278.516,0.8561,0.62478,0.94146,0.93288,0.97426,0.98926,0.78346,0.80091,0.47264,0.88536,0.000316207,0.000316207,0.000316207
96,281.415,0.8444,0.60323,0.91796,0.96129,0.95292,0.99036,0.78281,0.77911,0.46758,0.88045,0.000310709,0.000310709,0.000310709
97,284.298,0.85983,0.61388,0.947,0.96203,0.95721,0.99033,0.77964,0.77463,0.46555,0.87756,0.000305211,0.000305211,0.000305211
98,287.19,0.80192,0.59988,0.91865,0.94684,0.97314,0.99024,0.78529,0.7725,0.46541,0.87635,0.000299713,0.000299713,0.000299713
99,290.134,0.87383,0.61679,0.93791,0.93944,0.97542,0.98954,0.79354,0.76284,0.46525,0.87596,0.000294216,0.000294216,0.000294216
100,293.026,0.88137,0.61169,0.94771,0.92938,0.98385,0.98938,0.78713,0.76987,0.47004,0.87713,0.000288718,0.000288718,0.000288718
101,295.887,0.86274,0.60823,0.93689,0.93401,0.98467,0.98968,0.79748,0.75368,0.45642,0.87128,0.00028322,0.00028322,0.00028322
102,298.788,0.75131,0.561,0.91611,0.94498,0.97964,0.99143,0.8043,0.75534,0.45388,0.87211,0.000277722,0.000277722,0.000277722
103,301.691,0.83901,0.61167,0.93565,0.94254,0.97607,0.98986,0.80383,0.74663,0.45406,0.87006,0.000272224,0.000272224,0.000272224
104,304.577,0.83333,0.57857,0.92154,0.94315,0.98297,0.99051,0.80214,0.72503,0.44898,0.86392,0.000266727,0.000266727,0.000266727
105,307.448,0.82043,0.57659,0.9344,0.94002,0.98377,0.9901,0.79995,0.73029,0.44771,0.86328,0.000261229,0.000261229,0.000261229
106,310.342,0.81536,0.58462,0.92065,0.9401,0.97772,0.98988,0.80201,0.73619,0.44921,0.86567,0.000255731,0.000255731,0.000255731
107,313.244,0.84817,0.59342,0.93274,0.94959,0.97372,0.99127,0.80369,0.72421,0.44497,0.86363,0.000250233,0.000250233,0.000250233
108,316.122,0.81319,0.57511,0.92354,0.93477,0.98528,0.99154,0.80277,0.72437,0.44334,0.86399,0.000244735,0.000244735,0.000244735
109,319.001,0.80904,0.5619,0.91881,0.93806,0.98221,0.99139,0.80503,0.73394,0.44538,0.86565,0.000239238,0.000239238,0.000239238
110,321.911,0.81627,0.57088,0.93827,0.94389,0.98319,0.99098,0.80131,0.73546,0.44797,0.86686,0.00023374,0.00023374,0.00023374
111,324.788,0.79447,0.5732,0.92161,0.94099,0.98378,0.99093,0.79075,0.7568,0.45516,0.87017,0.000228242,0.000228242,0.000228242
112,327.666,0.75863,0.5417,0.92358,0.93737,0.98906,0.99102,0.81073,0.71771,0.44298,0.86198,0.000222744,0.000222744,0.000222744
113,330.573,0.8052,0.57693,0.93495,0.96172,0.96581,0.99205,0.81018,0.70508,0.4399,0.85834,0.000217246,0.000217246,0.000217246
114,333.472,0.80429,0.56183,0.92417,0.96175,0.96454,0.99193,0.81061,0.71736,0.44157,0.85981,0.000211749,0.000211749,0.000211749
115,336.375,0.7803,0.54884,0.93003,0.94296,0.98222,0.99216,0.81314,0.70543,0.43425,0.85802,0.000206251,0.000206251,0.000206251
116,339.295,0.77746,0.54295,0.90159,0.946,0.97789,0.99103,0.81518,0.70655,0.43298,0.85821,0.000200753,0.000200753,0.000200753
117,342.174,0.76455,0.54117,0.9306,0.92799,0.99013,0.99111,0.80992,0.71425,0.43584,0.85932,0.000195255,0.000195255,0.000195255
118,345.079,0.77328,0.55164,0.92974,0.93412,0.98761,0.99077,0.81362,0.71257,0.43829,0.85939,0.000189757,0.000189757,0.000189757
119,347.976,0.78206,0.55374,0.91145,0.94131,0.98409,0.99024,0.81501,0.70501,0.44131,0.8555,0.00018426,0.00018426,0.00018426
